INSERT INTO Cliente(ID, Indirizzo, Tel, PersonaDiRiferimento, NumeroDiRichieste) VALUES
(0001, 'Via R.O. 56', 3332130798, Null, 0),
(0002, 'Via O.J. 31', 3330192863, Null, 0),
(0003, 'Via T.K. 94', 3336740539, Null, 0),
(0004, 'Via H.J. 92', 3336450712, Null, 0),
(0005, 'Via A.U. 82', 3334163207, Null, 0),
(0006, 'Via Z.B. 80', 3336537280, Null, 0),
(0007, 'Via D.I. 25', 3334368072, Null, 0),
(0008, 'Via L.E. 47', 3336054372, Null, 0),
(0009, 'Via G.H. 94', 3333762085, Null, 0),
(0010, 'Via U.H. 22', 3332145386, Null, 0),
(0011, 'Via W.M. 73', 3331620378, Null, 0),
(0012, 'Via K.M. 78', 3336513704, Null, 0),
(0013, 'Via M.L. 93', 3337195062, Null, 0),
(0014, 'Via M.N. 94', 3331680259, Null, 0),
(0015, 'Via I.R. 10', 3335460983, Null, 0),
(0016, 'Via A.B. 74', 3336297310, Null, 0),
(0017, 'Via O.N. 43', 3339704215, Null, 0),
(0018, 'Via Z.K. 95', 3331890567, Null, 0),
(0019, 'Via D.V. 87', 3332380957, Null, 0),
(0020, 'Via X.J. 52', 3335261084, Null, 0),
(0021, 'Via I.T. 49', 3335096178, Null, 0),
(0022, 'Via B.A. 42', 3338750946, Null, 0),
(0023, 'Via V.S. 45', 3330273194, Null, 0),
(0024, 'Via N.E. 59', 3335924180, Null, 0),
(0025, 'Via N.B. 8', 3332047539, Null, 0),
(0026, 'Via G.N. 42', 3330567429, Null, 0),
(0027, 'Via C.E. 66', 3335802791, Null, 0),
(0028, 'Via Y.K. 84', 3337364258, Null, 0),
(0029, 'Via A.I. 35', 3330263157, Null, 0),
(0030, 'Via B.O. 30', 3338476301, Null, 0),
(0031, 'Via P.U. 3', 3333254068, Null, 0),
(0032, 'Via V.A. 50', 3339314872, Null, 0),
(0033, 'Via W.M. 92', 3337580329, Null, 0),
(0034, 'Via X.A. 14', 3336490182, Null, 0),
(0035, 'Via G.Q. 90', 3330712958, Null, 0),
(0036, 'Via W.T. 70', 3335690214, Null, 0),
(0037, 'Via K.J. 32', 3333018427, Null, 0),
(0038, 'Via E.N. 11', 3335189436, Null, 0),
(0039, 'Via X.N. 63', 3334937108, Null, 0),
