INSERT INTO RegistroInterventi(Tecnico, Richiesta, Intervento) VALUES
('TWAJOK98R58Y714P', 0000, 0001),
('UJHLTI86P60P714M', 0000, 0002),
('AOHKMV73J84Q368L', 0001, 0001),
('TEFJVI96G02K810Z', 0001, 0002),
('IGXEDP10I73J564L', 0002, 0001),
('IGXEDP10I73J564L', 0002, 0002),
('IGXEDP10I73J564L', 0002, 0003),
('NKXZYL65D42E238A', 0003, 0001),
('XKDCTP56B47P209H', 0003, 0002),
('XCATMI90N20B604S', 0003, 0003),
('CGPMNF06K15T392P', 0004, 0001),
('IGXEDP10I73J564L', 0005, 0001),
('NKXZYL65D42E238A', 0006, 0001),
('XCATMI90N20B604S', 0006, 0002),
('XCATMI90N20B604S', 0006, 0003),
('IGXEDP10I73J564L', 0007, 0001),
('IGXEDP10I73J564L', 0007, 0002),
('AOHKMV73J84Q368L', 0008, 0001),
('NKXZYL65D42E238A', 0009, 0001),
('XCATMI90N20B604S', 0009, 0002),
('XCATMI90N20B604S', 0010, 0001),
('AOHKMV73J84Q368L', 0011, 0001),
('AOHKMV73J84Q368L', 0011, 0002),
('XKDCTP56B47P209H', 0012, 0001),
('XCATMI90N20B604S', 0012, 0002),
('AOHKMV73J84Q368L', 0013, 0001),
('AOHKMV73J84Q368L', 0013, 0002),
('AOHKMV73J84Q368L', 0013, 0003),
('IGXEDP10I73J564L', 0014, 0001),
('IGXEDP10I73J564L', 0014, 0002),
('NKXZYL65D42E238A', 0015, 0001),
('XCATMI90N20B604S', 0015, 0002),
('TEFJVI96G02K810Z', 0016, 0001),
('TEFJVI96G02K810Z', 0016, 0002),
('XKDCTP56B47P209H', 0017, 0001),
('XCATMI90N20B604S', 0018, 0001),
('IGXEDP10I73J564L', 0019, 0001),
('NKXZYL65D42E238A', 0020, 0001),
('NKXZYL65D42E238A', 0020, 0002),
('XCATMI90N20B604S', 0020, 0003),
('UJHLTI86P60P714M', 0021, 0001),
('UJHLTI86P60P714M', 0021, 0002),
('UJHLTI86P60P714M', 0022, 0001),
('CTJOVK64H91O146H', 0023, 0001),
('NKXZYL65D42E238A', 0023, 0002),
('CTJOVK64H91O146H', 0023, 0003),
('CTJOVK64H91O146H', 0024, 0001),
('NKXZYL65D42E238A', 0025, 0001),
('XCATMI90N20B604S', 0025, 0002),
('XCATMI90N20B604S', 0025, 0003),
('NKXZYL65D42E238A', 0026, 0001),
('XCATMI90N20B604S', 0026, 0002),
('XCATMI90N20B604S', 0026, 0003),
('AOHKMV73J84Q368L', 0027, 0001),
('TEFJVI96G02K810Z', 0027, 0002),
('AOHKMV73J84Q368L', 0027, 0003),
('IOVYGZ84G25I235Q', 0028, 0001),
('KNOYAI45L56R691S', 0029, 0001),
('AOHKMV73J84Q368L', 0029, 0002),
('TEFJVI96G02K810Z', 0029, 0003),
('AOHKMV73J84Q368L', 0030, 0001),
('AOHKMV73J84Q368L', 0030, 0002),
('AOHKMV73J84Q368L', 0031, 0001),
('AOHKMV73J84Q368L', 0031, 0002),
('AOHKMV73J84Q368L', 0031, 0003),
('NKXZYL65D42E238A', 0032, 0001),
('CTJOVK64H91O146H', 0033, 0001),
('NKXZYL65D42E238A', 0033, 0002),
('IOVYGZ84G25I235Q', 0034, 0001),
('IOVYGZ84G25I235Q', 0034, 0002),
('XKDCTP56B47P209H', 0035, 0001),
('XCATMI90N20B604S', 0035, 0002),
('IGXEDP10I73J564L', 0036, 0001),
('AOHKMV73J84Q368L', 0037, 0001),
('AOHKMV73J84Q368L', 0038, 0001),
('CTJOVK64H91O146H', 0039, 0001),
('UJHLTI86P60P714M', 0039, 0002),
('CTJOVK64H91O146H', 0039, 0003),
('NKXZYL65D42E238A', 0040, 0001),
('NKXZYL65D42E238A', 0040, 0002),
('WNHIUA46T09L765U', 0041, 0001),
('UJHLTI86P60P714M', 0041, 0002),
('WNHIUA46T09L765U', 0041, 0003),
('UJHLTI86P60P714M', 0042, 0001),
('GLIMAV29E31B520O', 0042, 0002),
('AOHKMV73J84Q368L', 0043, 0001),
('KNOYAI45L56R691S', 0043, 0002),
('AOHKMV73J84Q368L', 0043, 0003),
('AOHKMV73J84Q368L', 0044, 0001),
('KNOYAI45L56R691S', 0044, 0002),
('KNOYAI45L56R691S', 0044, 0003),
('UJHLTI86P60P714M', 0045, 0001),
('VGYBUT84J41H814C', 0045, 0002),
('AOHKMV73J84Q368L', 0046, 0001),
('AOHKMV73J84Q368L', 0046, 0002),
('AOHKMV73J84Q368L', 0046, 0003),
('UJHLTI86P60P714M', 0047, 0001),
('TWAJOK98R58Y714P', 0048, 0001),
('GLIMAV29E31B520O', 0048, 0002),
('IOVYGZ84G25I235Q', 0049, 0001),
('TWAJOK98R58Y714P', 0050, 0001),
('CGPMNF06K15T392P', 0050, 0002),
('GLIMAV29E31B520O', 0051, 0001),
('WNHIUA46T09L765U', 0051, 0002),
('TWAJOK98R58Y714P', 0051, 0003),
('XCATMI90N20B604S', 0052, 0001),
('NKXZYL65D42E238A', 0052, 0002),
('IGXEDP10I73J564L', 0053, 0001),
('IOVYGZ84G25I235Q', 0054, 0001),
('NKXZYL65D42E238A', 0055, 0001),
('XCATMI90N20B604S', 0055, 0002),
('XCATMI90N20B604S', 0055, 0003),
('CTJOVK64H91O146H', 0056, 0001),
('NKXZYL65D42E238A', 0057, 0001),
('CTJOVK64H91O146H', 0058, 0001),
('CGPMNF06K15T392P', 0058, 0002),
('AOHKMV73J84Q368L', 0059, 0001),
('AOHKMV73J84Q368L', 0059, 0002),
('NKXZYL65D42E238A', 0060, 0001),
('GLIMAV29E31B520O', 0061, 0001),
('CTJOVK64H91O146H', 0062, 0001),
('IGXEDP10I73J564L', 0063, 0001),
('NKXZYL65D42E238A', 0064, 0001),
('NKXZYL65D42E238A', 0064, 0002),
('XCATMI90N20B604S', 0065, 0001),
('XCATMI90N20B604S', 0065, 0002),
('VGYBUT84J41H814C', 0066, 0001),
('CTJOVK64H91O146H', 0066, 0002),
('CGPMNF06K15T392P', 0066, 0003),
('IGXEDP10I73J564L', 0067, 0001),
('IGXEDP10I73J564L', 0067, 0002),
('IGXEDP10I73J564L', 0068, 0001),
('TEFJVI96G02K810Z', 0069, 0001),
('TEFJVI96G02K810Z', 0069, 0002),
('AOHKMV73J84Q368L', 0070, 0001),
('AOHKMV73J84Q368L', 0070, 0002),
('AOHKMV73J84Q368L', 0070, 0003),
('XKDCTP56B47P209H', 0071, 0001),
('IGXEDP10I73J564L', 0072, 0001),
('IGXEDP10I73J564L', 0073, 0001),
('NKXZYL65D42E238A', 0074, 0001),
('NKXZYL65D42E238A', 0074, 0002),
('TEFJVI96G02K810Z', 0075, 0001),
('KNOYAI45L56R691S', 0075, 0002),
('KNOYAI45L56R691S', 0075, 0003),
('AOHKMV73J84Q368L', 0076, 0001),
('AOHKMV73J84Q368L', 0076, 0002),
('CTJOVK64H91O146H', 0077, 0001),
('IOVYGZ84G25I235Q', 0077, 0002),
('CTJOVK64H91O146H', 0077, 0003),
('XCATMI90N20B604S', 0078, 0001),
('XKDCTP56B47P209H', 0078, 0002),
('IOVYGZ84G25I235Q', 0079, 0001),
('IOVYGZ84G25I235Q', 0079, 0002),
('CTJOVK64H91O146H', 0079, 0003),
('WNHIUA46T09L765U', 0080, 0001),
('UJHLTI86P60P714M', 0080, 0002),
('VGYBUT84J41H814C', 0080, 0003),
('IGXEDP10I73J564L', 0081, 0001),
('XCATMI90N20B604S', 0082, 0001),
('XKDCTP56B47P209H', 0082, 0002),
('XKDCTP56B47P209H', 0083, 0001),
('IGXEDP10I73J564L', 0084, 0001),
('TWAJOK98R58Y714P', 0085, 0001),
('VGYBUT84J41H814C', 0085, 0002),
('VGYBUT84J41H814C', 0085, 0003),
('TEFJVI96G02K810Z', 0086, 0001),
('AOHKMV73J84Q368L', 0086, 0002),
('NKXZYL65D42E238A', 0087, 0001),
('NKXZYL65D42E238A', 0087, 0002),
('GLIMAV29E31B520O', 0088, 0001),
('CGPMNF06K15T392P', 0088, 0002),
('XKDCTP56B47P209H', 0089, 0001),
('NKXZYL65D42E238A', 0089, 0002),
('XKDCTP56B47P209H', 0089, 0003),
('NKXZYL65D42E238A', 0090, 0001),
('XKDCTP56B47P209H', 0091, 0001),
('XCATMI90N20B604S', 0091, 0002),
('AOHKMV73J84Q368L', 0092, 0001),
('VGYBUT84J41H814C', 0093, 0001),
('WNHIUA46T09L765U', 0093, 0002),
('IGXEDP10I73J564L', 0094, 0001),
('AOHKMV73J84Q368L', 0095, 0001),
('AOHKMV73J84Q368L', 0095, 0002),
('AOHKMV73J84Q368L', 0095, 0003),
('IGXEDP10I73J564L', 0096, 0001),
('AOHKMV73J84Q368L', 0097, 0001),
('AOHKMV73J84Q368L', 0097, 0002),
('AOHKMV73J84Q368L', 0097, 0003),
('AOHKMV73J84Q368L', 0098, 0001),
('AOHKMV73J84Q368L', 0098, 0002),
('AOHKMV73J84Q368L', 0098, 0003),
('IOVYGZ84G25I235Q', 0099, 0001),
('CTJOVK64H91O146H', 0099, 0002),
('NKXZYL65D42E238A', 0100, 0001),
('NKXZYL65D42E238A', 0101, 0001),
('IOVYGZ84G25I235Q', 0101, 0002),
('CTJOVK64H91O146H', 0102, 0001),
('TWAJOK98R58Y714P', 0102, 0002),
('UJHLTI86P60P714M', 0102, 0003),
('IGXEDP10I73J564L', 0103, 0001),
('IGXEDP10I73J564L', 0103, 0002),
('IGXEDP10I73J564L', 0103, 0003),
('CGPMNF06K15T392P', 0104, 0001),
('CGPMNF06K15T392P', 0104, 0002),
('IGXEDP10I73J564L', 0105, 0001),
('IGXEDP10I73J564L', 0105, 0002),
('NKXZYL65D42E238A', 0106, 0001),
('NKXZYL65D42E238A', 0106, 0002),
('CTJOVK64H91O146H', 0106, 0003),
('AOHKMV73J84Q368L', 0107, 0001),
('AOHKMV73J84Q368L', 0107, 0002),
('KNOYAI45L56R691S', 0107, 0003),
('CTJOVK64H91O146H', 0108, 0001),
('AOHKMV73J84Q368L', 0109, 0001),
('AOHKMV73J84Q368L', 0109, 0002),
('AOHKMV73J84Q368L', 0109, 0003),
('XCATMI90N20B604S', 0110, 0001),
('GLIMAV29E31B520O', 0111, 0001),
('TWAJOK98R58Y714P', 0111, 0002),
('GLIMAV29E31B520O', 0111, 0003),
('CGPMNF06K15T392P', 0112, 0001),
('VGYBUT84J41H814C', 0112, 0002),
('CTJOVK64H91O146H', 0113, 0001),
('IOVYGZ84G25I235Q', 0113, 0002),
('AOHKMV73J84Q368L', 0114, 0001),
('AOHKMV73J84Q368L', 0114, 0002),
('AOHKMV73J84Q368L', 0114, 0003),
('TWAJOK98R58Y714P', 0115, 0001),
('TWAJOK98R58Y714P', 0115, 0002),
('UJHLTI86P60P714M', 0115, 0003),
('AOHKMV73J84Q368L', 0116, 0001),
('NKXZYL65D42E238A', 0117, 0001),
('IOVYGZ84G25I235Q', 0117, 0002),
('UJHLTI86P60P714M', 0118, 0001),
('UJHLTI86P60P714M', 0118, 0002),
('NKXZYL65D42E238A', 0119, 0001),
('NKXZYL65D42E238A', 0120, 0001),
('CTJOVK64H91O146H', 0120, 0002),
('IOVYGZ84G25I235Q', 0120, 0003),
('TEFJVI96G02K810Z', 0121, 0001),
('AOHKMV73J84Q368L', 0122, 0001),
('KNOYAI45L56R691S', 0122, 0002),
('KNOYAI45L56R691S', 0122, 0003),
('KNOYAI45L56R691S', 0123, 0001),
('XCATMI90N20B604S', 0124, 0001),
('XKDCTP56B47P209H', 0124, 0002),
('NKXZYL65D42E238A', 0124, 0003),
('AOHKMV73J84Q368L', 0125, 0001),
('KNOYAI45L56R691S', 0125, 0002),
('IOVYGZ84G25I235Q', 0126, 0001),
('IOVYGZ84G25I235Q', 0126, 0002),
